"ID_FlightType","Flight_Type","Flight_status"
"F733","International","à l heure"
"F734","International","Annulé"
"F735","International","Annulé"
"F736","International","Retardé"
"F737","International","Retardé"
"F738","International","Retardé"
"F739","International","à l heure"
"F740","International","Annulé"
"F741","International","Retardé"
"F742","International","Annulé"
"F743","International","Retardé"
"F744","International","à l heure"
"F745","International","Annulé"
"F746","International","Annulé"
"F747","International","Annulé"
"F748","International","Annulé"
"F749","International","à l heure"
"F750","International","à l heure"
"F751","International","Annulé"
"F752","International","Retardé"
"F753","International","Annulé"
"F754","International","Annulé"
"F755","International","Annulé"
"F756","International","à l heure"
"F757","International","Retardé"
"F758","International","Annulé"
"F759","International","Annulé"
"F760","International","Annulé"
"F761","International","Annulé"
"F762","International","Annulé"
"F763","International","Retardé"
"F764","International","Annulé"
"F765","International","Annulé"
"F766","International","Annulé"
"F767","International","Annulé"
"F768","International","Annulé"
"F769","International","Annulé"
"F770","International","Retardé"
"F771","International","Annulé"
"F772","International","Annulé"
"F773","International","Retardé"
"F774","International","Annulé"
"F775","International","Annulé"
"F776","International","à l heure"
"F777","International","Annulé"
"F778","International","à l heure"
"F779","International","Retardé"
"F780","International","Annulé"
"F781","National","Retardé"
"F782","International","Retardé"
"F783","International","Annulé"
"F784","National","Retardé"
"F785","International","Annulé"
"F786","International","à l heure"
"F787","International","à l heure"
"F788","International","à l heure"
"F789","International","à l heure"
"F790","International","Retardé"
"F791","International","Retardé"
"F792","International","à l heure"
"F793","International","Annulé"
"F794","International","Retardé"
"F795","International","Annulé"
"F796","International","Retardé"
"F797","International","Retardé"
"F798","International","Retardé"
"F799","International","Retardé"
"F800","International","Retardé"
"F801","International","à l heure"
"F802","International","Annulé"
"F803","International","Annulé"
"F804","International","Retardé"
"F805","International","à l heure"
"F806","International","Retardé"
"F807","International","Annulé"
"F808","International","à l heure"
"F809","International","Retardé"
"F810","International","Retardé"
"F811","National","Retardé"
"F812","International","Retardé"
"F813","National","Annulé"
"F814","International","Annulé"
"F815","International","Annulé"
"F816","International","Retardé"
"F817","International","à l heure"
"F818","International","Annulé"
"F819","International","Annulé"
"F820","International","Retardé"
"F821","International","Annulé"
"F822","International","Annulé"
"F823","International","Retardé"
"F824","International","Annulé"
"F825","International","Annulé"
"F826","International","Retardé"
"F827","International","Annulé"
"F828","International","Retardé"
"F829","International","Annulé"
"F830","International","Retardé"
"F831","International","à l heure"
"F832","International","Annulé"
"F833","International","Retardé"
"F834","International","Annulé"
"F835","International","Annulé"
"F836","International","Annulé"
"F837","International","Retardé"
"F838","International","Retardé"
"F839","International","Annulé"
"F840","International","Annulé"
"F841","International","à l heure"
"F842","International","Retardé"
"F843","International","Annulé"
"F844","International","à l heure"
"F845","International","Retardé"
"F846","International","Retardé"
"F847","International","Annulé"
"F848","International","Annulé"
"F849","International","à l heure"
"F850","International","Retardé"
"F851","International","Annulé"
"F852","International","Annulé"
"F853","International","Annulé"
"F854","International","Annulé"
"F855","National","Retardé"
"F856","International","Annulé"
"F857","International","Retardé"
"F858","International","à l heure"
"F859","International","à l heure"
"F860","International","à l heure"
"F861","International","à l heure"
"F862","International","Retardé"
"F863","International","Annulé"
"F864","International","Retardé"
"F865","International","Retardé"
"F866","International","Retardé"
"F867","International","Annulé"
"F868","International","Retardé"
"F869","International","Annulé"
"F870","National","Retardé"
"F871","International","Retardé"
"F872","International","Retardé"
"F873","International","Annulé"
"F874","International","Retardé"
"F875","National","Retardé"
"F876","International","Annulé"
"F877","International","Annulé"
"F878","National","à l heure"
"F879","International","Annulé"
"F880","International","à l heure"
"F881","International","Annulé"
"F882","International","Annulé"
"F883","International","Retardé"
"F884","International","Retardé"
"F885","International","Retardé"
"F886","International","Annulé"
"F887","International","à l heure"
"F888","International","à l heure"
"F889","International","Annulé"
"F890","International","Retardé"
"F891","International","Annulé"
"F892","International","à l heure"
"F893","National","Annulé"
"F894","International","Annulé"
"F895","International","Retardé"
"F896","International","à l heure"
"F897","International","Annulé"
"F898","International","Retardé"
"F899","International","Retardé"
"F900","International","Retardé"
"F901","International","Annulé"
"F902","International","Annulé"
"F903","International","Annulé"
"F904","International","Annulé"
"F905","International","Retardé"
"F906","International","Annulé"
"F907","International","Annulé"
"F908","International","Retardé"
"F909","International","Retardé"
"F910","International","Annulé"
"F911","International","Annulé"
"F912","International","Retardé"
"F913","International","Annulé"
"F914","International","Annulé"
"F915","International","Retardé"
"F916","International","à l heure"
"F917","International","Retardé"
"F918","International","Annulé"
"F919","International","à l heure"
"F920","International","Annulé"
"F921","International","Retardé"
"F922","International","Annulé"
"F923","International","à l heure"
"F924","International","Retardé"
"F925","International","Retardé"
"F926","International","Annulé"
"F927","International","Retardé"
"F928","National","Retardé"
"F929","International","à l heure"
"F930","International","Retardé"
"F931","International","Annulé"
"F932","International","Annulé"
"F933","International","Retardé"
"F934","International","Retardé"
"F935","International","Annulé"
"F936","International","Annulé"
"F937","International","Annulé"
"F938","International","Annulé"
"F939","International","Annulé"
"F940","International","à l heure"
"F941","International","à l heure"
"F942","International","à l heure"
"F943","International","Annulé"
"F944","International","Retardé"
"F945","International","Retardé"
"F946","International","Annulé"
"F947","International","Annulé"
"F948","International","Annulé"
"F949","International","Retardé"
"F950","International","Retardé"
"F951","International","Retardé"
"F952","International","Retardé"
"F953","International","Annulé"
"F954","International","Annulé"
"F955","International","Retardé"
"F956","International","Annulé"
"F957","International","Annulé"
"F958","International","à l heure"
"F959","International","Retardé"
"F960","International","Annulé"
"F961","International","à l heure"
"F962","International","Retardé"
"F963","International","Annulé"
"F964","International","Annulé"
"F965","International","Retardé"
"F966","International","Retardé"
"F967","National","à l heure"
"F968","International","Retardé"
"F969","International","Retardé"
"F970","International","Annulé"
"F971","International","à l heure"
"F972","International","Annulé"
"F973","International","Retardé"
"F974","International","Annulé"
"F975","International","Retardé"
"F976","International","à l heure"
"F977","International","Retardé"
"F978","International","Retardé"
"F979","International","Annulé"
"F980","International","Retardé"
"F981","International","Annulé"
"F982","International","Annulé"
"F983","International","Annulé"
"F984","International","Retardé"
"F985","International","Annulé"
"F986","International","Retardé"
"F987","International","Annulé"
"F988","International","Annulé"
"F989","International","Retardé"
"F990","International","Retardé"
"F991","International","Retardé"
"F992","International","Retardé"
"F993","International","Retardé"
"F994","International","Annulé"
"F995","International","Annulé"
"F996","International","Annulé"
"F997","International","Annulé"
"F998","International","Annulé"
"F999","National","Annulé"
"F1000","International","Annulé"
"F1001","National","Annulé"
"F1002","International","Annulé"
"F1003","International","Annulé"
"F1004","International","Annulé"
"F1005","International","à l heure"
"F1006","International","Annulé"
"F1007","International","à l heure"
"F1008","International","Annulé"
"F1009","International","Annulé"
"F1010","International","Annulé"
"F1011","International","Annulé"
"F1012","International","Annulé"
"F1013","International","Annulé"
"F1014","International","Retardé"
"F1015","International","Annulé"
"F1016","International","Retardé"
"F1017","International","Retardé"
"F1018","International","Annulé"
"F1019","International","Annulé"
"F1020","International","à l heure"
"F1021","International","Retardé"
"F1022","International","Annulé"
"F1023","International","Annulé"
"F1024","International","Annulé"
"F1025","International","Annulé"
"F1026","International","Retardé"
"F1027","International","Retardé"
"F1028","International","Annulé"
"F1029","International","Annulé"
"F1030","International","Retardé"
"F1031","International","Annulé"
"F1032","International","Annulé"
"F1033","International","Retardé"
"F1034","International","Retardé"
"F1035","International","Annulé"
"F1036","National","Annulé"
"F1037","International","Retardé"
"F1038","International","Annulé"
"F1039","International","Annulé"
"F1040","International","Retardé"
"F1041","National","Annulé"
"F1042","International","à l heure"
"F1043","International","Annulé"
"F1044","International","à l heure"
"F1045","International","Retardé"
"F1046","International","Annulé"
"F1047","International","Annulé"
"F1048","International","Retardé"
"F1049","International","Annulé"
"F1050","International","Retardé"
"F1051","International","Retardé"
"F1052","International","Annulé"
"F1053","International","Annulé"
"F1054","International","Annulé"
"F1055","International","Retardé"
"F1056","International","à l heure"
"F1057","International","Retardé"
"F1058","International","Annulé"
"F1059","International","Retardé"
"F1060","International","Annulé"
"F1061","International","Retardé"
"F1062","International","Annulé"
"F1063","International","Retardé"
"F1064","International","Retardé"
"F1065","International","Annulé"
"F1066","International","à l heure"
"F1067","International","Annulé"
"F1068","International","Annulé"
"F1069","International","Retardé"
"F1070","International","Annulé"
"F1071","International","Retardé"
"F1072","International","Retardé"
"F1073","International","Retardé"
"F1074","International","Retardé"
"F1075","International","Annulé"
"F1076","International","Annulé"
"F1077","International","Annulé"
"F1078","International","Retardé"
"F1079","International","Retardé"
"F1080","International","Annulé"
"F1081","International","à l heure"
"F1082","International","Retardé"
"F1083","International","Retardé"
"F1084","International","Retardé"
"F1085","International","Annulé"
"F1086","International","Annulé"
"F1087","International","Annulé"
"F1088","International","Retardé"
"F1089","International","Retardé"
"F1090","International","Annulé"
"F1091","International","Annulé"
"F1092","International","Retardé"
"F1093","International","Annulé"
"F1094","International","Annulé"
"F1095","International","à l heure"
"F1096","International","Retardé"
"F1097","National","Retardé"
"F1098","International","Retardé"
"F1099","International","Retardé"
"F1100","International","Retardé"
"F1101","International","Annulé"
"F1102","International","Annulé"
"F1103","International","Annulé"
"F1104","International","Retardé"
"F1105","International","Annulé"
"F1106","International","Annulé"
"F1107","International","Annulé"
"F1108","International","Retardé"
"F1109","International","Retardé"
"F1110","International","Annulé"
"F1111","International","Retardé"
"F1112","International","Retardé"
"F1113","International","Retardé"
"F1114","International","Annulé"
"F1115","International","à l heure"
"F1116","International","Retardé"
"F1117","International","Retardé"
"F1118","International","à l heure"
"F1119","International","Annulé"
"F1120","International","Retardé"
"F1121","International","Annulé"
"F1122","International","à l heure"
"F1123","International","Annulé"
"F1124","International","Annulé"
"F1125","International","Retardé"
"F1126","International","Annulé"
"F1127","International","Retardé"
"F1128","International","Annulé"
"F1129","International","Retardé"
"F1130","National","Retardé"
"F1131","International","Retardé"
"F1132","International","Annulé"
"F1133","International","Annulé"
"F1134","National","à l heure"
"F1135","International","Annulé"
"F1136","International","Annulé"
"F1137","International","Annulé"
"F1138","International","Annulé"
"F1139","International","Retardé"
"F1140","International","Retardé"
"F1141","International","Retardé"
"F1142","International","Annulé"
"F1143","International","Annulé"
"F1144","International","Retardé"
"F1145","International","Retardé"
"F1146","International","Annulé"
"F1147","International","Annulé"
"F1148","International","Retardé"
"F1149","International","à l heure"
"F1150","International","Annulé"
